,text,top,bottom,left,right
0,C,199,254,1018,1051
1,a,199,254,1058,1081
2,l,199,254,1086,1095
3,d,199,254,1100,1125
4,e,199,254,1130,1149
5,r,199,254,1154,1173
6,p,199,254,1176,1203
7,r,199,254,1208,1227
8,i,199,254,1232,1243
9,n,199,254,1248,1271
10,t,199,254,1276,1291
11,L,199,254,1308,1341
12,i,199,254,1344,1353
13,m,199,254,1360,1399
14,i,199,254,1404,1415
15,t,199,254,1418,1433
16,e,199,254,1438,1457
17,d,199,254,1462,1487
18,(,199,254,1506,1519
19,R,199,254,1524,1557
20,e,199,254,1562,1581
21,g,199,254,1586,1609
22,i,199,254,1614,1623
23,s,199,254,1628,1643
24,t,199,254,1648,1663
25,e,199,254,1668,1687
26,r,199,254,1692,1711
27,e,199,254,1716,1735
28,d,199,254,1740,1763
29,n,199,254,1784,1807
30,u,199,254,1814,1837
31,m,199,254,1844,1883
32,b,199,254,1890,1913
33,e,199,254,1918,1937
34,r,199,254,1944,1961
35,0,199,254,1996,2019
36,4,199,254,2022,2045
37,4,199,254,2050,2073
38,2,199,254,2080,2099
39,3,199,254,2104,2127
40,7,199,254,2134,2155
41,8,199,254,2160,2181
42,9,199,254,2186,2207
43,),199,254,2214,2225
44,B,330,372,1478,1512
45,a,330,372,1516,1540
46,l,330,372,1542,1552
47,a,330,372,1556,1580
48,n,330,372,1584,1610
49,c,330,372,1614,1634
50,e,330,372,1638,1658
51,S,330,372,1676,1702
52,h,330,372,1706,1732
53,e,330,372,1736,1756
54,e,330,372,1758,1780
55,t,330,372,1782,1798
56,3,393,440,1492,1516
57,1,393,440,1522,1546
58,M,393,440,1555,1595
59,a,393,440,1609,1641
60,y,392,439,1642,1666
61,2,392,439,1679,1704
62,0,392,439,1710,1729
63,1,392,439,1741,1758
64,8,392,439,1764,1789
65,3,517,556,1796,1815
66,1,517,556,1828,1839
67,5,517,556,1864,1883
68,1,517,556,1910,1921
69,8,517,556,1934,1953
70,£,582,621,1810,1834
71,3,518,558,2595,2616
72,1,518,558,2629,2640
73,5,518,558,2665,2685
74,1,518,558,2711,2722
75,7,518,558,2733,2755
76,£,581,620,2589,2612
77,N,582,621,1280,1316
78,o,582,621,1320,1342
79,t,582,621,1344,1358
80,e,582,621,1362,1382
81,s,582,621,1386,1402
82,£,582,620,2199,2224
83,£,584,619,2979,3000
84,F,645,686,204,233
85,I,645,686,236,251
86,X,645,686,258,291
87,E,645,686,298,325
88,D,645,686,332,367
89,A,645,686,384,419
90,S,645,686,426,449
91,S,645,686,456,481
92,E,645,686,486,515
93,T,645,686,520,551
94,S,645,686,556,581
95,I,706,755,203,216
96,n,706,755,221,242
97,t,706,755,247,260
98,a,706,755,263,282
99,n,706,755,289,308
100,g,705,754,313,336
101,i,705,754,341,348
102,b,705,754,355,378
103,l,705,754,383,392
104,e,705,754,397,418
105,a,704,753,435,456
106,s,704,753,461,476
107,s,704,753,481,498
108,e,704,753,503,520
109,t,703,752,523,536
110,s,703,752,539,556
111,T,766,819,203,232
112,a,766,819,235,256
113,n,766,819,259,284
114,g,766,819,287,310
115,i,765,818,313,320
116,b,765,818,329,350
117,l,765,818,357,366
118,e,765,818,371,390
119,a,765,818,407,428
120,s,764,817,433,448
121,s,764,817,455,470
122,e,764,817,475,494
123,t,764,817,499,510
124,s,764,817,515,528
125,8,709,738,1334,1351
126,9,769,804,1332,1353
127,3,765,806,2030,2051
128,0,765,806,2072,2095
129,2,765,806,2098,2121
130,4,765,806,2124,2149
131,1,765,806,2170,2181
132,6,765,806,2192,2217
133,0,765,806,2220,2243
134,3,832,878,2039,2059
135,0,831,877,2079,2103
136,2,830,876,2107,2129
137,4,830,876,2133,2157
138,1,828,875,2179,2191
139,6,828,874,2201,2223
140,0,827,873,2227,2251
141,3,766,813,2831,2850
142,0,766,813,2871,2894
143,4,766,813,2897,2922
144,1,766,813,2933,2944
145,2,766,813,2967,2990
146,1,766,813,2999,3010
147,5,766,813,3021,3041
148,3,828,873,2829,2852
149,0,828,873,2871,2894
150,4,828,873,2897,2922
151,1,828,873,2933,2942
152,2,828,873,2967,2988
153,1,828,873,2999,3008
154,5,827,872,3021,3040
155,C,957,998,204,237
156,U,957,998,246,275
157,R,957,998,282,317
158,R,957,998,320,355
159,E,957,998,360,391
160,N,957,998,396,429
161,T,957,998,434,467
162,A,957,998,484,517
163,S,957,998,524,547
164,S,957,998,554,579
165,E,957,998,584,613
166,T,957,998,620,651
167,S,957,998,656,681
168,S,1017,1058,206,227
169,t,1017,1058,234,245
170,o,1017,1058,248,271
171,c,1017,1058,276,295
172,k,1017,1058,300,321
173,s,1017,1058,326,343
174,D,1079,1120,204,239
175,e,1079,1120,242,263
176,b,1079,1120,268,289
177,t,1079,1120,294,305
178,o,1079,1120,310,331
179,r,1079,1120,334,351
180,s,1079,1120,354,369
181,C,1143,1186,203,235
182,a,1143,1186,239,261
183,s,1143,1186,263,281
184,h,1143,1186,284,309
185,a,1143,1186,323,345
186,t,1143,1186,348,359
187,b,1143,1186,376,399
188,a,1143,1186,403,425
189,n,1143,1186,428,451
190,k,1143,1186,456,479
191,a,1143,1186,497,517
192,n,1143,1186,522,539
193,d,1143,1186,550,571
194,i,1143,1186,588,597
195,n,1143,1186,602,625
196,h,1143,1186,642,667
197,a,1143,1186,670,691
198,n,1143,1186,694,719
199,d,1143,1186,722,743
200,1,1020,1057,1309,1320
201,0,1020,1057,1331,1352
202,1,1081,1121,1312,1322
203,1,1082,1122,1340,1348
204,2,1015,1064,1656,1677
205,3,1015,1064,1684,1703
206,9,1015,1064,1712,1733
207,0,1015,1064,1752,1773
208,1,1015,1064,1784,1793
209,6,1015,1064,1806,1827
210,3,1079,1128,1616,1635
211,5,1079,1128,1658,1677
212,2,1079,1128,1684,1705
213,6,1079,1128,1712,1733
214,1,1079,1128,1758,1767
215,7,1079,1128,1778,1799
216,2,1080,1129,1804,1827
217,2,1142,1191,1655,1679
218,1,1142,1191,1689,1699
219,7,1141,1190,1713,1733
220,5,1141,1190,1751,1771
221,6,1140,1189,1777,1799
222,3,1140,1189,1805,1825
223,3,1208,1255,1629,1649
224,9,1207,1254,1669,1691
225,8,1207,1254,1697,1719
226,2,1206,1253,1723,1745
227,7,1205,1252,1763,1785
228,5,1204,1251,1791,1811
229,1,1204,1251,1823,1831
230,1,1015,1064,2462,2473
231,4,1015,1064,2482,2507
232,7,1015,1064,2512,2535
233,6,1015,1064,2552,2575
234,3,1015,1064,2580,2599
235,9,1015,1064,2604,2629
236,2,1080,1129,2413,2437
237,6,1080,1129,2455,2479
238,2,1079,1128,2483,2507
239,4,1079,1128,2509,2535
240,3,1078,1127,2551,2573
241,7,1078,1127,2579,2599
242,5,1077,1126,2603,2627
243,5,1144,1181,2551,2572
244,1,1144,1181,2581,2592
245,2,1144,1181,2603,2626
246,2,1206,1255,2419,2443
247,7,1206,1255,2461,2485
248,7,1206,1255,2489,2511
249,2,1205,1254,2515,2539
250,5,1205,1254,2557,2579
251,2,1205,1254,2581,2605
252,6,1204,1253,2609,2633
253,1,1333,1370,1310,1322
254,2,1333,1370,1332,1352
255,4,1329,1380,1614,1639
256,4,1329,1380,1656,1679
257,0,1329,1380,1684,1707
258,3,1329,1380,1712,1731
259,4,1329,1380,1750,1773
260,0,1329,1380,1778,1799
261,3,1329,1380,1806,1825
262,3,1330,1377,2415,2436
263,3,1330,1377,2455,2476
264,5,1330,1377,2483,2504
265,5,1330,1377,2511,2532
266,0,1330,1377,2551,2574
267,7,1330,1377,2579,2598
268,6,1330,1377,2603,2628
269,C,1271,1312,204,237
270,R,1271,1312,242,277
271,E,1271,1312,282,311
272,D,1271,1312,316,351
273,I,1271,1312,356,373
274,T,1271,1312,378,409
275,O,1271,1312,414,451
276,R,1271,1312,456,493
277,S,1271,1312,496,519
278,A,1328,1382,204,238
279,m,1328,1382,244,280
280,o,1328,1382,286,306
281,u,1329,1383,312,332
282,n,1329,1383,338,358
283,t,1329,1383,364,376
284,s,1329,1383,382,396
285,f,1330,1384,416,436
286,a,1330,1384,440,453
287,l,1330,1384,464,475
288,l,1330,1384,476,485
289,i,1331,1385,492,504
290,n,1331,1385,507,523
291,g,1331,1385,535,551
292,d,1331,1385,570,590
293,u,1332,1386,596,618
294,e,1332,1386,624,642
295,w,1332,1386,662,696
296,i,1333,1387,704,709
297,t,1333,1387,716,724
298,h,1333,1387,728,751
299,i,1333,1387,758,765
300,n,1333,1387,772,793
301,o,1334,1388,812,835
302,n,1334,1388,842,862
303,e,1334,1388,868,886
304,y,1335,1389,904,929
305,e,1335,1389,935,949
306,a,1335,1389,957,973
307,r,1335,1389,982,994
308,N,1395,1438,204,237
309,E,1395,1438,242,273
310,T,1395,1438,280,311
311,C,1395,1438,328,361
312,U,1395,1438,370,399
313,R,1395,1438,406,443
314,R,1395,1438,446,481
315,E,1395,1438,486,515
316,N,1395,1438,520,553
317,T,1395,1438,558,591
318,L,1395,1438,608,641
319,I,1395,1438,646,661
320,A,1395,1438,666,701
321,B,1395,1438,706,735
322,I,1395,1438,740,757
323,L,1395,1438,762,793
324,I,1395,1438,798,813
325,T,1395,1438,818,851
326,I,1395,1438,856,871
327,E,1395,1438,876,907
328,S,1395,1438,914,937
329,T,1461,1504,204,235
330,O,1461,1504,240,277
331,T,1461,1504,282,313
332,A,1461,1504,318,351
333,L,1461,1504,356,387
334,A,1461,1504,406,441
335,S,1461,1504,446,471
336,S,1461,1504,476,501
337,E,1461,1504,506,535
338,T,1461,1504,540,573
339,S,1461,1504,578,603
340,L,1461,1504,620,653
341,E,1461,1504,658,689
342,S,1461,1504,694,719
343,S,1461,1504,724,747
344,C,1461,1504,766,799
345,U,1461,1504,806,841
346,R,1461,1504,844,881
347,R,1461,1504,884,919
348,E,1461,1504,924,953
349,N,1461,1504,958,993
350,T,1461,1504,998,1029
351,L,1525,1568,204,235
352,I,1525,1568,240,255
353,A,1525,1568,260,297
354,B,1525,1568,300,331
355,I,1525,1568,334,351
356,L,1525,1568,356,387
357,I,1525,1568,392,409
358,T,1525,1568,414,445
359,I,1525,1568,450,467
360,E,1525,1568,472,501
361,S,1525,1568,508,531
362,(,1394,1443,2053,2064
363,4,1394,1443,2069,2092
364,2,1394,1443,2099,2120
365,0,1394,1443,2125,2150
366,6,1394,1443,2167,2188
367,5,1394,1443,2191,2214
368,2,1394,1443,2219,2240
369,),1393,1442,2247,2260
370,(,1395,1448,2844,2865
371,5,1395,1448,2874,2896
372,8,1395,1448,2904,2923
373,2,1395,1448,2933,2950
374,5,1395,1448,2973,2987
375,5,1395,1448,2993,3012
376,0,1395,1448,3022,3039
377,),1395,1448,3047,3061
378,2,1523,1570,2030,2053
379,6,1523,1570,2072,2095
380,0,1523,1570,2098,2123
381,3,1523,1570,2128,2147
382,5,1524,1571,2168,2187
383,0,1524,1571,2192,2217
384,8,1524,1571,2220,2243
385,2,1524,1571,2829,2850
386,4,1524,1571,2877,2892
387,5,1524,1571,2899,2919
388,8,1523,1570,2931,2948
389,6,1523,1570,2972,2987
390,6,1523,1570,2989,3010
391,5,1523,1570,3024,3040
392,C,1650,1692,203,237
393,R,1650,1692,241,279
394,E,1650,1692,281,311
395,D,1650,1692,315,351
396,I,1650,1692,356,373
397,T,1650,1692,377,409
398,O,1650,1692,413,451
399,R,1650,1692,456,493
400,S,1650,1692,495,519
401,A,1709,1764,202,239
402,m,1709,1764,242,281
403,o,1709,1764,286,307
404,u,1709,1764,312,333
405,n,1709,1764,338,361
406,t,1709,1764,364,377
407,s,1709,1764,382,397
408,f,1710,1765,416,436
409,a,1710,1765,439,453
410,l,1710,1765,462,474
411,l,1710,1765,475,486
412,i,1710,1765,492,505
413,n,1710,1765,506,523
414,g,1710,1765,535,551
415,d,1710,1765,570,591
416,u,1710,1765,598,619
417,c,1711,1766,624,643
418,a,1711,1766,662,681
419,f,1711,1766,686,702
420,t,1711,1766,712,725
421,e,1711,1766,724,736
422,r,1711,1766,745,757
423,m,1711,1766,774,811
424,o,1712,1767,816,839
425,r,1712,1767,844,859
426,e,1712,1767,862,881
427,t,1712,1767,898,911
428,h,1712,1767,914,935
429,a,1712,1767,940,961
430,n,1712,1767,964,987
431,o,1712,1767,1004,1027
432,n,1713,1768,1032,1055
433,e,1713,1768,1060,1079
434,y,1713,1768,1096,1119
435,e,1713,1768,1124,1141
436,a,1713,1768,1146,1167
437,r,1713,1768,1170,1187
438,1,1714,1751,1310,1322
439,3,1714,1751,1332,1350
440,(,1712,1765,2013,2024
441,1,1712,1765,2037,2048
442,3,1712,1765,2073,2092
443,8,1712,1765,2101,2120
444,0,1712,1765,2127,2150
445,3,1712,1765,2169,2186
446,1,1712,1765,2199,2210
447,2,1712,1765,2219,2242
448,),1712,1765,2247,2260
449,(,1708,1764,2814,2830
450,1,1708,1764,2843,2858
451,0,1708,1764,2879,2893
452,4,1708,1764,2899,2919
453,6,1708,1764,2930,2949
454,7,1708,1764,2972,2989
455,2,1708,1764,3001,3018
456,6,1708,1764,3022,3032
457,),1708,1764,3047,3060
458,1,1839,1878,1310,1322
459,6,1839,1878,1332,1354
460,P,1838,1880,204,231
461,R,1838,1880,237,262
462,O,1838,1880,275,305
463,V,1838,1880,322,349
464,I,1838,1880,363,380
465,S,1838,1880,381,398
466,I,1838,1880,411,430
467,O,1838,1880,432,454
468,N,1838,1880,470,497
469,S,1838,1880,510,534
470,F,1838,1880,552,580
471,O,1838,1880,586,622
472,R,1838,1880,628,664
473,L,1838,1880,682,710
474,I,1838,1880,722,740
475,A,1838,1880,742,765
476,B,1838,1880,782,807
477,I,1838,1880,817,835
478,L,1838,1880,838,858
479,I,1838,1880,873,895
480,T,1838,1880,902,920
481,I,1838,1880,930,947
482,E,1838,1880,950,971
483,S,1838,1880,986,1009
484,N,1901,1942,203,239
485,E,1901,1942,242,273
486,T,1901,1942,279,311
487,A,1901,1942,328,361
488,S,1901,1942,367,393
489,S,1901,1942,397,423
490,E,1902,1943,428,459
491,T,1902,1943,464,495
492,S,1902,1943,500,523
493,(,1837,1886,2054,2069
494,2,1837,1886,2069,2095
495,9,1837,1886,2104,2122
496,0,1837,1886,2132,2147
497,6,1837,1886,2169,2184
498,8,1837,1886,2193,2212
499,6,1838,1887,2221,2236
500,),1838,1887,2247,2261
501,9,1902,1947,2062,2098
502,3,1902,1947,2103,2121
503,2,1902,1947,2133,2149
504,5,1902,1947,2170,2188
505,1,1902,1947,2199,2217
506,0,1902,1947,2225,2244
507,(,1839,1883,2852,2863
508,3,1839,1883,2872,2891
509,4,1839,1883,2896,2921
510,3,1839,1883,2926,2945
511,1,1839,1883,2972,2983
512,7,1839,1883,2992,3014
513,2,1839,1883,3018,3041
514,),1839,1883,3046,3060
515,1,1902,1948,2825,2855
516,0,1901,1947,2877,2893
517,6,1901,1947,2899,2918
518,8,1901,1947,2930,2947
519,7,1900,1946,2975,2991
520,6,1900,1946,2993,3010
521,7,1900,1946,3022,3042
522,C,2032,2073,203,237
523,A,2032,2073,243,277
524,P,2032,2073,281,311
525,I,2032,2073,313,329
526,T,2032,2073,333,367
527,A,2032,2073,372,405
528,L,2032,2073,410,443
529,A,2032,2073,462,495
530,N,2032,2073,500,533
531,D,2032,2073,538,571
532,R,2032,2073,590,625
533,E,2032,2073,630,661
534,S,2032,2073,668,691
535,E,2032,2073,696,725
536,R,2032,2073,732,767
537,V,2032,2073,770,805
538,E,2032,2073,810,841
539,S,2032,2073,848,871
540,C,2087,2140,204,234
541,a,2087,2140,240,258
542,l,2087,2140,266,274
543,l,2087,2140,280,288
544,e,2088,2141,294,310
545,d,2088,2141,316,340
546,u,2088,2141,358,380
547,p,2089,2142,384,406
548,s,2089,2142,426,445
549,h,2089,2142,451,467
550,a,2090,2143,479,495
551,r,2090,2143,504,516
552,e,2090,2143,522,534
553,c,2090,2143,552,570
554,a,2091,2144,576,596
555,p,2091,2144,600,622
556,i,2091,2144,630,638
557,t,2091,2144,644,654
558,a,2092,2145,658,678
559,l,2092,2145,684,692
560,R,2153,2196,204,231
561,e,2153,2196,242,260
562,v,2154,2197,269,286
563,a,2154,2197,294,308
564,l,2154,2197,318,330
565,u,2155,2198,331,345
566,a,2155,2198,356,373
567,t,2156,2199,382,395
568,i,2156,2199,402,412
569,o,2156,2199,414,428
570,n,2156,2199,441,460
571,r,2157,2200,478,494
572,e,2157,2200,498,516
573,s,2158,2201,520,534
574,e,2158,2201,540,558
575,r,2158,2201,564,578
576,v,2159,2202,584,604
577,e,2159,2202,610,628
578,C,2213,2268,204,235
579,a,2213,2268,240,261
580,p,2213,2268,264,287
581,i,2213,2268,292,299
582,t,2213,2268,306,317
583,a,2213,2268,320,341
584,l,2213,2268,346,353
585,r,2214,2269,372,411
586,e,2214,2269,414,439
587,d,2214,2269,442,461
588,e,2214,2269,466,473
589,m,2214,2269,476,503
590,p,2214,2269,508,529
591,t,2215,2270,534,545
592,i,2215,2270,550,557
593,o,2215,2270,564,587
594,n,2215,2270,592,613
595,r,2215,2270,632,649
596,e,2215,2270,652,671
597,s,2215,2270,676,691
598,e,2216,2271,696,715
599,r,2216,2271,720,733
600,v,2216,2271,736,759
601,e,2216,2271,764,783
602,R,2273,2328,204,237
603,e,2273,2327,240,259
604,t,2274,2328,264,274
605,a,2274,2328,280,299
606,i,2274,2328,304,311
607,n,2275,2329,316,339
608,e,2275,2329,344,363
609,d,2275,2329,368,391
610,e,2276,2330,408,429
611,a,2276,2330,434,453
612,r,2277,2331,456,472
613,n,2277,2331,476,499
614,i,2278,2332,504,513
615,n,2278,2332,518,539
616,g,2278,2332,544,567
617,s,2279,2333,572,587
618,S,2343,2384,204,229
619,H,2343,2384,234,271
620,A,2343,2384,276,309
621,R,2343,2384,314,349
622,E,2343,2384,354,383
623,H,2343,2384,390,427
624,O,2343,2384,432,469
625,L,2343,2384,474,505
626,D,2343,2384,510,543
627,E,2343,2384,548,579
628,R,2343,2384,584,619
629,S,2343,2384,624,649
630,F,2343,2384,684,711
631,U,2343,2384,716,749
632,N,2343,2384,754,789
633,D,2343,2384,792,827
634,S,2343,2384,834,857
635,1,2094,2136,1312,1321
636,7,2095,2138,1334,1350
637,1,2156,2195,1309,1320
638,8,2156,2195,1333,1351
639,1,2218,2255,1311,1318
640,8,2218,2255,1333,1350
641,1,2280,2317,1309,1320
642,8,2280,2317,1333,1350
643,1,2095,2142,2131,2143
644,0,2095,2142,2165,2188
645,0,2094,2141,2191,2216
646,0,2094,2141,2219,2242
647,5,2151,2196,2072,2093
648,3,2151,2196,2100,2121
649,0,2151,2196,2126,2151
650,7,2151,2196,2168,2189
651,2,2151,2196,2192,2215
652,9,2151,2196,2220,2243
653,2,2217,2273,2073,2094
654,0,2217,2273,2099,2122
655,0,2217,2273,2127,2150
656,0,2217,2273,2167,2188
657,0,2217,2273,2193,2216
658,0,2217,2273,2221,2242
659,2,2278,2319,2069,2092
660,0,2278,2319,2097,2122
661,0,2278,2319,2125,2148
662,7,2278,2319,2167,2186
663,8,2278,2319,2193,2214
664,1,2278,2319,2227,2236
665,9,2344,2383,2071,2094
666,3,2344,2383,2099,2120
667,2,2344,2383,2125,2148
668,5,2344,2383,2167,2186
669,1,2344,2383,2199,2206
670,0,2344,2383,2219,2244
671,1,2093,2134,2934,2945
672,0,2093,2134,2966,2991
673,0,2093,2134,2994,3017
674,0,2093,2134,3020,3043
675,5,2157,2204,2872,2891
676,4,2157,2204,2896,2921
677,3,2157,2204,2926,2945
678,9,2157,2204,2966,2989
679,6,2156,2203,2992,3015
680,8,2156,2203,3020,3041
681,2,2215,2271,2869,2894
682,0,2215,2271,2898,2922
683,0,2215,2271,2926,2948
684,0,2214,2270,2966,2990
685,0,2214,2270,2992,3016
686,0,2213,2269,3018,3042
687,3,2276,2323,2871,2897
688,2,2276,2323,2901,2920
689,3,2276,2323,2932,2950
690,7,2275,2322,2973,2989
691,9,2275,2322,2996,3016
692,9,2275,2322,3024,3043
693,1,2345,2386,2838,2847
694,0,2345,2386,2870,2895
695,6,2345,2386,2898,2923
696,8,2345,2386,2926,2949
697,7,2345,2386,2968,2991
698,6,2345,2386,2994,3017
699,7,2345,2386,3022,3043
700,T,2469,2524,204,233
701,h,2469,2524,236,259
702,e,2469,2524,264,283
703,f,2469,2524,302,321
704,i,2469,2524,323,334
705,n,2469,2524,336,353
706,a,2469,2524,365,384
707,n,2469,2524,387,405
708,c,2469,2524,417,436
709,i,2469,2524,445,456
710,a,2469,2524,454,467
711,l,2469,2524,476,485
712,s,2469,2524,506,519
713,t,2469,2524,522,535
714,a,2469,2524,538,559
715,t,2469,2524,562,575
716,e,2469,2524,578,597
717,m,2469,2524,602,639
718,e,2469,2524,644,665
719,n,2469,2524,670,691
720,t,2469,2524,696,707
721,s,2469,2524,712,725
722,w,2469,2524,744,779
723,e,2469,2524,784,803
724,r,2469,2524,808,823
725,e,2469,2524,826,845
726,a,2469,2524,864,885
727,p,2469,2524,894,911
728,p,2469,2524,915,934
729,r,2469,2524,946,963
730,o,2469,2524,964,980
731,v,2469,2524,991,1010
732,e,2469,2524,1016,1032
733,d,2469,2524,1040,1059
734,b,2469,2524,1078,1101
735,y,2469,2524,1106,1129
736,t,2469,2524,1144,1157
737,h,2469,2524,1160,1183
738,e,2469,2524,1188,1207
739,B,2469,2524,1224,1252
740,o,2469,2524,1262,1283
741,a,2469,2524,1293,1312
742,r,2469,2524,1319,1331
743,d,2469,2524,1337,1351
744,o,2469,2524,1370,1393
745,f,2469,2524,1398,1417
746,D,2469,2524,1428,1463
747,i,2469,2524,1470,1477
748,r,2469,2524,1484,1499
749,e,2469,2524,1502,1521
750,c,2469,2524,1526,1545
751,t,2469,2524,1548,1559
752,o,2469,2524,1564,1585
753,r,2469,2524,1590,1607
754,s,2469,2524,1610,1625
755,o,2469,2524,1644,1667
756,n,2469,2524,1672,1693
757,1,2469,2524,1720,1729
758,3,2469,2524,1740,1757
759,D,2469,2524,1778,1809
760,e,2469,2524,1821,1840
761,c,2469,2524,1843,1861
762,e,2469,2524,1874,1891
763,m,2469,2524,1889,1912
764,b,2469,2524,1933,1959
765,e,2469,2524,1967,1982
766,r,2469,2524,1987,1999
767,2,2469,2524,2014,2037
768,0,2469,2524,2042,2065
769,1,2469,2524,2076,2085
770,8,2469,2524,2098,2117
771,a,2469,2524,2138,2159
772,n,2469,2524,2164,2183
773,d,2469,2524,2188,2209
774,w,2469,2524,2230,2259
775,e,2469,2524,2272,2292
776,r,2469,2524,2299,2311
777,e,2469,2524,2317,2331
778,s,2469,2524,2348,2367
779,i,2469,2524,2372,2377
780,g,2469,2524,2382,2407
781,n,2469,2524,2412,2433
782,e,2469,2524,2436,2457
783,d,2469,2524,2460,2485
784,o,2469,2524,2502,2526
785,n,2469,2524,2535,2551
786,i,2469,2524,2574,2579
787,t,2469,2524,2584,2595
788,s,2469,2524,2600,2617
789,b,2469,2524,2634,2657
790,c,2469,2524,2660,2681
791,h,2469,2524,2686,2707
792,a,2469,2524,2714,2733
793,l,2469,2524,2740,2745
794,f,2469,2524,2754,2773
795,b,2469,2524,2784,2805
796,y,2469,2524,2810,2833
797,P,2848,2889,203,229
798,G,2848,2889,247,283
799,B,2848,2889,299,329
800,i,2848,2889,335,343
801,r,2848,2889,349,365
802,b,2848,2889,367,391
803,e,2848,2889,395,415
804,c,2848,2889,419,439
805,k,2848,2889,443,465
806,-,2848,2889,485,499
807,D,2848,2889,515,549
808,i,2848,2889,555,563
809,r,2848,2889,569,585
810,e,2848,2889,587,607
811,c,2848,2889,611,631
812,t,2848,2889,635,647
813,o,2848,2889,651,673
814,r,2848,2889,677,695
815,T,4290,4341,1098,1127
816,h,4290,4341,1132,1153
817,e,4290,4341,1156,1177
818,n,4290,4341,1194,1217
819,o,4290,4341,1222,1245
820,t,4290,4341,1250,1261
821,e,4290,4341,1264,1285
822,s,4290,4341,1290,1305
823,f,4290,4341,1324,1344
824,o,4290,4341,1347,1360
825,r,4290,4341,1367,1383
826,m,4290,4341,1391,1423
827,p,4290,4341,1440,1464
828,a,4290,4341,1468,1490
829,r,4290,4341,1492,1510
830,t,4290,4341,1512,1522
831,o,4290,4341,1540,1562
832,f,4290,4341,1566,1586
833,t,4290,4341,1596,1608
834,h,4290,4341,1612,1636
835,e,4290,4341,1640,1660
836,s,4290,4341,1664,1680
837,e,4290,4341,1684,1706
838,f,4290,4341,1724,1743
839,i,4290,4341,1748,1758
840,n,4290,4341,1757,1771
841,a,4290,4341,1781,1801
842,n,4290,4341,1809,1827
843,c,4290,4341,1836,1853
844,i,4290,4341,1860,1873
845,a,4290,4341,1876,1889
846,l,4290,4341,1897,1908
847,s,4290,4341,1926,1942
848,t,4290,4341,1947,1958
849,a,4290,4341,1963,1980
850,t,4290,4341,1985,1996
851,e,4290,4341,1999,2020
852,m,4290,4341,2023,2062
853,e,4290,4341,2067,2086
854,n,4290,4341,2089,2114
855,t,4290,4341,2117,2128
856,s,4290,4341,2133,2148
857,P,4416,4470,1551,1578
858,a,4415,4469,1579,1602
859,g,4414,4468,1604,1631
860,e,4414,4468,1632,1655
861,7,4412,4466,1671,1694
